,Stanowisko,Szacunkowe Wynagrodzenie,Nazwa Firmy,Lokacja-Miasto,Lokacja-Stan,Minimalne Wyn. Roczne,Maksymalne Wyn. Roczne,Średnie Wyn. Roczne,Branża,Sektor,Przychód
354,"Associate Scientist, LC/MS Biologics",$44K-$96K (Glassdoor est.),Q2 Solutions,Ithaca,NY,44000,96000,70000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
355,Sr. Scientist Method Development,$50K-$110K (Glassdoor est.),Q2 Solutions,Marietta,GA,50000,110000,80000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
356,IT - Data Engineer II,$61K-$119K (Glassdoor est.),Arbella Insurance,Quincy,MA,61000,119000,90000.0,Insurance Carriers,Insurance,$100 to $500 million (USD)
357,"Project Scientist - Auton Lab, Robotics Institute",$56K-$91K (Glassdoor est.),Software Engineering Institute,Pittsburgh,PA,56000,91000,73500.0,Colleges & Universities,Education,Unknown / Non-Applicable
358,Data Scientist,$68K-$114K (Glassdoor est.),Zimmerman Advertising,Fort Lauderdale,FL,68000,114000,91000.0,Advertising & Marketing,Business Services,Unknown / Non-Applicable
359,Data Scientist,Employer Provided Salary:$150K-$160K,BPA Services,Washington,DC,150000,160000,155000.0,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
360,"Enterprise Architect, Data",$101K-$158K (Glassdoor est.),MassMutual,Boston,MA,101000,158000,129500.0,Insurance Carriers,Insurance,$10+ billion (USD)
361,"Senior Manager, Epidemiologic Data Scientist",$125K-$210K (Glassdoor est.),Pfizer,New York,NY,125000,210000,167500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
362,Corporate Risk Data Analyst (SQL Based) - Milwaukee or,$43K-$77K (Glassdoor est.),Associated Banc-Corp,Green Bay,WI,43000,77000,60000.0,Banks & Credit Unions,Finance,$1 to $2 billion (USD)
363,Lead Data Scientist,$139K-$221K (Glassdoor est.),Zest AI,Burbank,CA,139000,221000,180000.0,Financial Analytics & Research,Finance,$50 to $100 million (USD)
364,"Marketing Data Analyst, May 2020 Undergrad",$44K-$86K (Glassdoor est.),Fareportal,New York,NY,44000,86000,65000.0,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD)
365,Senior Data Engineer,$78K-$147K (Glassdoor est.),Genesys,Durham,NC,78000,147000,112500.0,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
366,Senior Data Analyst,$65K-$110K (Glassdoor est.),Moda Operandi,New York,NY,65000,110000,87500.0,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD)
367,Data Modeler - Data Solutions Engineer,$37K-$66K (Glassdoor est.),Liberty Mutual Insurance,Indianapolis,IN,37000,66000,51500.0,Insurance Carriers,Insurance,$10+ billion (USD)
368,Associate Environmental Scientist - Wildlife Biologist,$38K-$64K (Glassdoor est.),QK,Clovis,CA,38000,64000,51000.0,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
369,"Associate, Data Science, Internal Audit",$43K-$82K (Glassdoor est.),Santander,Boston,MA,43000,82000,62500.0,Banks & Credit Unions,Finance,$10+ billion (USD)
370,Sr Data Engineer (Sr BI Developer),$90K-$110K(Employer est.),Tivity Health,Chandler,AZ,90000,110000,100000.0,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
371,Data Engineer,$61K-$109K (Glassdoor est.),BRMi,Chantilly,VA,61000,109000,85000.0,IT Services,Information Technology,Unknown / Non-Applicable
