,Stanowisko,Szacunkowe Wynagrodzenie,Nazwa Firmy,Lokacja-Miasto,Lokacja-Stan,Minimalne Wyn. Roczne,Maksymalne Wyn. Roczne,Średnie Wyn. Roczne,Branża,Sektor,Przychód
411,Data Scientist,$94K-$139K (Glassdoor est.),Citi,Jersey City,NJ,94000,139000,116500.0,Investment Banking & Asset Management,Finance,$10+ billion (USD)
412,Principal Machine Learning Scientist,$176K-$289K (Glassdoor est.),Sage Intacct,San Francisco,CA,176000,289000,232500.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
413,Data Scientist,$92K-$149K (Glassdoor est.),Scale AI,San Francisco,CA,92000,149000,120500.0,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
414,Product Engineer – Data Science,$63K-$101K (Glassdoor est.),Esri,Arlington,VA,63000,101000,82000.0,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
415,"Principal Scientist, Chemistry & Immunology",$54K-$115K (Glassdoor est.),Rochester Regional Health,Rochester,NY,54000,115000,84500.0,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
416,Data Scientist,$118K-$188K (Glassdoor est.),Change Healthcare,Emeryville,CA,118000,188000,153000.0,IT Services,Information Technology,Unknown / Non-Applicable
417,Data Scientist,$108K-$146K (Glassdoor est.),MZ,Palo Alto,CA,108000,146000,127000.0,Internet,Information Technology,Unknown / Non-Applicable
418,Data Scientist,$65K-$106K (Glassdoor est.),HG Insights,Santa Barbara,CA,65000,106000,85500.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
419,Data Scientist,$55K-$98K (Glassdoor est.),"1-800-FLOWERS.COM, Inc.",Carle Place,NY,55000,98000,76500.0,Wholesale,Business Services,$1 to $2 billion (USD)
420,Data Scientist,$94K-$162K (Glassdoor est.),CBS Interactive,New York,NY,94000,162000,128000.0,TV Broadcast & Cable Networks,Media,$500 million to $1 billion (USD)
421,Data Engineer,$63K-$120K (Glassdoor est.),"Numeric, LLC",King of Prussia,PA,63000,120000,91500.0,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
422,"Scientist/Senior Scientist, Autoimmune",$90K-$179K (Glassdoor est.),Rubius Therapeutics,Cambridge,MA,90000,179000,134500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
423,Data Scientist,$127K-$202K (Glassdoor est.),Samba TV,San Francisco,CA,127000,202000,164500.0,Advertising & Marketing,Business Services,Unknown / Non-Applicable
424,Software Engineer - Data Visualization,$60K-$127K (Glassdoor est.),ClearEdge,Annapolis Junction,MD,60000,127000,93500.0,Computer Hardware & Software,Information Technology,$5 to $10 million (USD)
425,Market Data Analyst,$31K-$57K (Glassdoor est.),SV Microwave,West Palm Beach,FL,31000,57000,44000.0,Telecommunications Manufacturing,Telecommunications,$50 to $100 million (USD)
426,Staff Data Engineer,$105K-$194K (Glassdoor est.),Sumo Logic,Austin,TX,105000,194000,149500.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
427,Associate Data Engineer,$45K-$86K (Glassdoor est.),EAB,Washington,DC,45000,86000,65500.0,Research & Development,Business Services,Unknown / Non-Applicable
428,Data Engineer,$75K-$143K (Glassdoor est.),SpringML,Herndon,VA,75000,143000,109000.0,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
429,Staff Data Engineer,$126K-$228K (Glassdoor est.),Samsung Research America,Mountain View,CA,126000,228000,177000.0,Computer Hardware & Software,Information Technology,$50 to $100 million (USD)
430,Data Scientist,$80K-$134K (Glassdoor est.),Systems & Technology Research,Arlington,VA,80000,134000,107000.0,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD)
431,Data Scientist,$120K-$189K (Glassdoor est.),Netskope,Santa Clara,CA,120000,189000,154500.0,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
432,Data Scientist,$85K-$142K (Glassdoor est.),Lorven Technologies Inc,Santa Clara,CA,85000,142000,113500.0,Accounting,Accounting & Legal,Less than $1 million (USD)
433,Senior Data Scientist,$95K-$154K (Glassdoor est.),Brighthouse Financial,Charlotte,NC,95000,154000,124500.0,Insurance Carriers,Insurance,Unknown / Non-Applicable
434,Data Scientist,$111K-$176K (Glassdoor est.),CareDx,Brisbane,CA,111000,176000,143500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
435,Data Scientist,$87K-$140K (Glassdoor est.),Serigor Inc.,San Francisco,CA,87000,140000,113500.0,IT Services,Information Technology,Less than $1 million (USD)
436,Data Scientist,$76K-$127K (Glassdoor est.),Leidos,Springfield,VA,76000,127000,101500.0,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
437,"Data Analyst, Performance Partnership",$54K-$92K (Glassdoor est.),Beckman Coulter Diagnostics,New York,NY,54000,92000,73000.0,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion (USD)
438,Data Scientist,$61K-$100K (Glassdoor est.),IHS Markit,New York,NY,61000,100000,80500.0,Consulting,Business Services,$2 to $5 billion (USD)
439,Staff BI and Data Engineer,$80K-$148K (Glassdoor est.),Affinity Solutions,San Jose,CA,80000,148000,114000.0,Advertising & Marketing,Business Services,Unknown / Non-Applicable
440,Data Scientist,$108K-$171K (Glassdoor est.),e-IT Professionals Corp.,Foster City,CA,108000,171000,139500.0,"Health, Beauty, & Fitness",Consumer Services,$5 to $10 million (USD)
441,Data Scientist,$112K-$179K (Glassdoor est.),TechProjects,New York,NY,112000,179000,145500.0,IT Services,Information Technology,Unknown / Non-Applicable
442,Data Scientist,$63K-$111K (Glassdoor est.),Biz2Credit Inc,New York,NY,63000,111000,87000.0,Lending,Finance,$100 to $500 million (USD)
443,Data Scientist,$75K-$126K (Glassdoor est.),PeoplesBank,Holyoke,MA,75000,126000,100500.0,Banks & Credit Unions,Finance,$50 to $100 million (USD)
444,Data Scientist Manager,$110K-$184K (Glassdoor est.),Capgemini,New York,NY,110000,184000,147000.0,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
445,Data Engineer,$76K-$145K (Glassdoor est.),GNY Insurance Companies,New York,NY,76000,145000,110500.0,Insurance Carriers,Insurance,$100 to $500 million (USD)
446,Marketing Data Analyst,$36K-$62K (Glassdoor est.),Citadel Federal Credit Union,Exton,PA,36000,62000,49000.0,Banks & Credit Unions,Finance,Unknown / Non-Applicable
447,Data Scientist,$70K-$118K (Glassdoor est.),"Conch Technologies, Inc",Waltham,MA,70000,118000,94000.0,Consulting,Business Services,$5 to $10 million (USD)
448,Senior Data Scientist,$94K-$153K (Glassdoor est.),Medidata Solutions,New York,NY,94000,153000,123500.0,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
449,"Principal Scientist, Hematology",$54K-$115K (Glassdoor est.),Rochester Regional Health,Rochester,NY,54000,115000,84500.0,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
450,Data Analyst,$50K-$92K (Glassdoor est.),CALIBRE Systems,Alexandria,VA,50000,92000,71000.0,IT Services,Information Technology,$100 to $500 million (USD)
451,Software Data Engineer - College,$49K-$97K (Glassdoor est.),HP Inc.,Corvallis,OR,49000,97000,73000.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
452,"Director - Data, Privacy and AI Governance",$67K-$135K (Glassdoor est.),MassMutual,Boston,MA,67000,135000,101000.0,Insurance Carriers,Insurance,$10+ billion (USD)
453,Staff Machine Learning Engineer,$138K-$224K (Glassdoor est.),Tapjoy,San Francisco,CA,138000,224000,181000.0,Internet,Information Technology,$10 to $25 million (USD)
454,Data Scientist,$80K-$139K (Glassdoor est.),Northrop Grumman,San Diego,CA,80000,139000,109500.0,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
455,Lead Data Scientist,$158K-$211K (Glassdoor est.),Visa Inc.,Bellevue,WA,158000,211000,184500.0,IT Services,Information Technology,$10+ billion (USD)
456,Senior Data Scientist - Algorithms,$150K-$180K (Glassdoor est.),Quartet Health,New York,NY,150000,180000,165000.0,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
457,Information Security Data Analyst,$42K-$80K (Glassdoor est.),Motorola Solutions,Chicago,IL,42000,80000,61000.0,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
458,Lead Data Engineer,$190K-$220K(Employer est.),Credit Sesame,Mountain View,CA,190000,220000,205000.0,Internet,Information Technology,$50 to $100 million (USD)
459,Data Analyst,$42K-$77K (Glassdoor est.),Success Academy Charter Schools,New York,NY,42000,77000,59500.0,K-12 Education,Education,$100 to $500 million (USD)
460,Scientist Manufacturing - Kentucky BioProcessing,$68K-$139K (Glassdoor est.),Reynolds American,Owensboro,KY,68000,139000,103500.0,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
461,Consultant - Analytics Consulting,$54K-$71K (Glassdoor est.),Infosys,Hartford,CT,54000,71000,62500.0,IT Services,Information Technology,$10+ billion (USD)
462,Data Analytics Project Manager,$34K-$92K (Glassdoor est.),MassMutual,Springfield,MA,34000,92000,63000.0,Insurance Carriers,Insurance,$10+ billion (USD)
463,Data Analyst,$47K-$85K (Glassdoor est.),AXION Healthcare Solutions,New York,NY,47000,85000,66000.0,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
464,Data Engineer,$65K-$124K (Glassdoor est.),Alignment Healthcare,Orange,CA,65000,124000,94500.0,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
465,Data Scientist,$56K-$95K (Glassdoor est.),ExecOnline,New York,NY,56000,95000,75500.0,Education Training Services,Education,Unknown / Non-Applicable
466,Machine Learning Engineer,$62K-$112K (Glassdoor est.),Mteq,Fort Belvoir,VA,62000,112000,87000.0,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD)
467,Senior Data Scientist Oncology,$107K-$173K (Glassdoor est.),AstraZeneca,Gaithersburg,MD,107000,173000,140000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
468,Data Scientist,$64K-$108K (Glassdoor est.),Brillient,Silver Spring,MD,64000,108000,86000.0,IT Services,Information Technology,$25 to $50 million (USD)
469,Senior Data Scientist,$89K-$144K (Glassdoor est.),Entefy,Palo Alto,CA,89000,144000,116500.0,Internet,Information Technology,Unknown / Non-Applicable
470,Senior Scientist (Neuroscience),$109K-$200K (Glassdoor est.),Sunovion,Marlborough,MA,109000,200000,154500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
471,Machine Learning Engineer - Regulatory,$61K-$113K (Glassdoor est.),Cboe Global Markets,Lenexa,KS,61000,113000,87000.0,Stock Exchanges,Finance,$500 million to $1 billion (USD)
472,Marketing Data Analyst,$35K-$62K (Glassdoor est.),San Manuel Casino,Highland,CA,35000,62000,48500.0,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
473,Data Engineer,$55K-$105K (Glassdoor est.),Trace3,Houston,TX,55000,105000,80000.0,IT Services,Information Technology,$1 to $2 billion (USD)
474,R&D Specialist/ Food Scientist,$39K-$66K (Glassdoor est.),Teasdale Latin Foods,Hoopeston,IL,39000,66000,52500.0,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD)
475,Principal Data Scientist,$135K-$211K (Glassdoor est.),Northrop Grumman,San Jose,CA,135000,211000,173000.0,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
476,Data Engineer,$57K-$80K (Glassdoor est.),Saama Technologies Inc,Phoenix,AZ,57000,80000,68500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
477,Data Scientist - Alpha Insights,$129K-$215K (Glassdoor est.),Two Sigma,New York,NY,129000,215000,172000.0,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
478,"Data Scientist, Office of Data Science",$86K-$143K (Glassdoor est.),Liberty Mutual Insurance,Boston,MA,86000,143000,114500.0,Insurance Carriers,Insurance,$10+ billion (USD)
479,"Associate Principal Scientist, Pharmacogenomics",$63K-$127K (Glassdoor est.),AstraZeneca,Gaithersburg,MD,63000,127000,95000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
480,Data Scientist - Systems Engineering,$50K-$89K (Glassdoor est.),MITRE,Bedford,MA,50000,89000,69500.0,Federal Agencies,Government,$1 to $2 billion (USD)
481,Data Engineer,$43K-$86K (Glassdoor est.),Guidepoint,New York,NY,43000,86000,64500.0,Research & Development,Business Services,Unknown / Non-Applicable
482,"Scientist, Bacteriology",$74K-$149K (Glassdoor est.),Cerus Corporation,Concord,CA,74000,149000,111500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
483,Data Scientist,$71K-$124K (Glassdoor est.),Strategic Financial Solutions,New York,NY,71000,124000,97500.0,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable
484,"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",$113K-$196K (Glassdoor est.),Takeda Pharmaceuticals,Cambridge,MA,113000,196000,154500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
485,Senior Research Scientist-Machine Learning,$81K-$167K (Glassdoor est.),Software Engineering Institute,Pittsburgh,PA,81000,167000,124000.0,Colleges & Universities,Education,Unknown / Non-Applicable
486,Data Scientist,$69K-$121K (Glassdoor est.),"Remedy BPCI Partners, LLC.",New York,NY,69000,121000,95000.0,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
487,Senior Data Scientist,$97K-$160K (Glassdoor est.),Maven Wave Partners,Chicago,IL,97000,160000,128500.0,Consulting,Business Services,$50 to $100 million (USD)
488,Principal Data Scientist,$150K-$238K (Glassdoor est.),The Climate Corporation,San Francisco,CA,150000,238000,194000.0,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
489,Data Scientist,$77K-$132K (Glassdoor est.),Crossix Solutions,New York,NY,77000,132000,104500.0,Advertising & Marketing,Business Services,Unknown / Non-Applicable
490,Data Engineer - Consultant (Charlotte Based),$59K-$112K (Glassdoor est.),Clarity Insights,Charlotte,NC,59000,112000,85500.0,IT Services,Information Technology,Unknown / Non-Applicable
491,"Data Analyst 1, full-time contract worker for up to 12 months",$35K-$65K (Glassdoor est.),The Church of Jesus Christ of Latter-day Saints,Salt Lake City,UT,35000,65000,50000.0,Religious Organizations,Non-Profit,Unknown / Non-Applicable
492,Data Engineer,$79K-$147K (Glassdoor est.),NCSOFT,Aliso Viejo,CA,79000,147000,113000.0,Video Games,Media,$10+ billion (USD)
493,"Scientist, Immuno-Oncology",$62K-$119K (Glassdoor est.),GSK,Cambridge,MA,62000,119000,90500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
494,Senior Data Scientist,$119K-$187K (Glassdoor est.),Factual,Los Angeles,CA,119000,187000,153000.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
495,Products Data Analyst II,$90K-$157K (Glassdoor est.),TriNet,Dublin,CA,90000,157000,123500.0,Consulting,Business Services,$2 to $5 billion (USD)
496,Lead Data Analyst,$32K-$62K (Glassdoor est.),Signpost,New York,NY,32000,62000,47000.0,Internet,Information Technology,$10 to $25 million (USD)
497,Analytics Manager - Data Mart,$42K-$86K (Glassdoor est.),Central California Alliance for Health,Scotts Valley,CA,42000,86000,64000.0,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
498,Data Science Engineer - Mobile,$116K-$208K (Glassdoor est.),Adobe,San Jose,CA,116000,208000,162000.0,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
499,Senior Data Scientist - R&D Oncology,$102K-$172K (Glassdoor est.),AstraZeneca,New York,NY,102000,172000,137000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
500,Sr. Data Engineer - Contract-to-Hire (Java),$69K-$127K (Glassdoor est.),Pilot Flying J Travel Centers LLC,Knoxville,TN,69000,127000,98000.0,Gas Stations,Retail,$10+ billion (USD)
501,Data Scientist,$86K-$144K (Glassdoor est.),Swiss Re,Armonk,NY,86000,144000,115000.0,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD)
502,Senior Data Scientist,$102K-$165K (Glassdoor est.),Sartorius,Arvada,CO,102000,165000,133500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
503,Data Engineer,$74K-$124K (Glassdoor est.),Pinnacol Assurance,Denver,CO,74000,124000,99000.0,Insurance Carriers,Insurance,$500 million to $1 billion (USD)
504,Food Scientist - Developer,$40K-$68K (Glassdoor est.),Palermo's Pizza,Milwaukee,WI,40000,68000,54000.0,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable
505,Senior Data Engineer,$76K-$142K (Glassdoor est.),Equian LLC,Franklin,TN,76000,142000,109000.0,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
506,Data Engineer,$76K-$142K (Glassdoor est.),MetroStar Systems,Rockville,MD,76000,142000,109000.0,IT Services,Information Technology,$25 to $50 million (USD)
507,Senior Data Scientist,$108K-$171K (Glassdoor est.),MathWorks,Natick,MA,108000,171000,139500.0,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
508,"Director II, Data Science - GRM Actuarial",$202K-$306K (Glassdoor est.),Liberty Mutual Insurance,Chicago,IL,202000,306000,254000.0,Insurance Carriers,Insurance,$10+ billion (USD)
509,Machine Learning Engineer,$91K-$159K (Glassdoor est.),Information Builders,New York,NY,91000,159000,125000.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
510,"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",$80K-$133K (Glassdoor est.),Novartis,Cambridge,MA,80000,133000,106500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
511,"Scientist, Molecular/Cellular Biologist",$49K-$97K (Glassdoor est.),Audentes Therapeutics,South San Francisco,CA,49000,97000,73000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
512,Staff Scientist-Downstream Process Development,$49K-$113K (Glassdoor est.),Advanced BioScience Laboratories,Rockville,MD,49000,113000,81000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
513,Scientist - Analytical Services,$65K-$134K (Glassdoor est.),Reynolds American,Winston-Salem,NC,65000,134000,99500.0,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
514,Associate Data Analyst- Graduate Development Program,$32K-$59K (Glassdoor est.),National Interstate,Richfield,OH,32000,59000,45500.0,Insurance Carriers,Insurance,$500 million to $1 billion (USD)
515,IT Associate Data Analyst,$39K-$69K (Glassdoor est.),The Hanover Insurance Group,Worcester,MA,39000,69000,54000.0,Insurance Carriers,Insurance,$5 to $10 billion (USD)
516,Sr. Data Engineer,$87K-$158K (Glassdoor est.),Moser Consulting,Indianapolis,IN,87000,158000,122500.0,Consulting,Business Services,$25 to $50 million (USD)
517,Clinical Data Analyst,$27K-$48K (Glassdoor est.),Greenway Health,Tampa,FL,27000,48000,37500.0,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
518,Business Data Analyst,$36K-$71K (Glassdoor est.),Fareportal,New York,NY,36000,71000,53500.0,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD)
519,Senior Insurance Data Scientist,$107K-$173K (Glassdoor est.),TransUnion,Chicago,IL,107000,173000,140000.0,Financial Analytics & Research,Finance,$1 to $2 billion (USD)
520,Senior Data Science Systems Engineer,$56K-$99K (Glassdoor est.),MITRE,Hampton,VA,56000,99000,77500.0,Federal Agencies,Government,$1 to $2 billion (USD)
521,Senior Scientist - Regulatory Submissions,$80K-$155K (Glassdoor est.),Reynolds American,Winston-Salem,NC,80000,155000,117500.0,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
522,Scientist - Biomarker and Flow Cytometry,$43K-$98K (Glassdoor est.),Crown Bioscience,San Diego,CA,43000,98000,70500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD)
523,"Associate Scientist, LC/MS Biologics",$44K-$96K (Glassdoor est.),Q2 Solutions,Ithaca,NY,44000,96000,70000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
524,Revenue Analytics Manager,$45K-$78K (Glassdoor est.),HOVER,San Francisco,CA,45000,78000,61500.0,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
525,Sr. Scientist Method Development,$50K-$110K (Glassdoor est.),Q2 Solutions,Marietta,GA,50000,110000,80000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
526,Data Scientist,$60K-$99K (Glassdoor est.),Oversight Systems,Atlanta,GA,60000,99000,79500.0,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
527,Data Scientist - Sales,$130K-$206K (Glassdoor est.),Confluent,Mountain View,CA,130000,206000,168000.0,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
528,IT - Data Engineer II,$61K-$119K (Glassdoor est.),Arbella Insurance,Quincy,MA,61000,119000,90000.0,Insurance Carriers,Insurance,$100 to $500 million (USD)
529,Senior Data Analyst,$99K-$178K (Glassdoor est.),Life360,San Francisco,CA,99000,178000,138500.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
530,"Principal, Data Science - Advanced Analytics",$86K-$137K (Glassdoor est.),IQVIA,Plymouth Meeting,PA,86000,137000,111500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
531,Data Science Project Manager,$37K-$100K (Glassdoor est.),MassMutual,Boston,MA,37000,100000,68500.0,Insurance Carriers,Insurance,$10+ billion (USD)
532,"Sr Scientist, Immuno-Oncology - Oncology",$58K-$111K (Glassdoor est.),GSK,Cambridge,MA,58000,111000,84500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
533,Senior Data Engineer,$72K-$133K (Glassdoor est.),Eventbrite,Nashville,TN,72000,133000,102500.0,Internet,Information Technology,$100 to $500 million (USD)
534,"Project Scientist - Auton Lab, Robotics Institute",$56K-$91K (Glassdoor est.),Software Engineering Institute,Pittsburgh,PA,56000,91000,73500.0,Colleges & Universities,Education,Unknown / Non-Applicable
535,Research Scientist – Security and Privacy,$61K-$126K (Glassdoor est.),Riverside Research Institute,Beavercreek,OH,61000,126000,93500.0,Federal Agencies,Government,$50 to $100 million (USD)
536,Data Science Manager,$95K-$160K (Glassdoor est.),"Numeric, LLC",Allentown,PA,95000,160000,127500.0,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
537,Data Analyst 2 (Missionary Department),$53K-$91K (Glassdoor est.),The Church of Jesus Christ of Latter-day Saints,Salt Lake City,UT,53000,91000,72000.0,Religious Organizations,Non-Profit,Unknown / Non-Applicable
538,"Enterprise Architect, Data",$101K-$158K (Glassdoor est.),MassMutual,Boston,MA,101000,158000,129500.0,Insurance Carriers,Insurance,$10+ billion (USD)
539,Supply Chain Data Analyst,$33K-$61K (Glassdoor est.),Icon Health and Fitness,Logan,UT,33000,61000,47000.0,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD)
540,Data Engineer - ETL,$44K-$86K (Glassdoor est.),Shipt,Birmingham,AL,44000,86000,65000.0,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable
541,Corporate Risk Data Analyst (SQL Based) - Milwaukee or,$43K-$77K (Glassdoor est.),Associated Banc-Corp,Green Bay,WI,43000,77000,60000.0,Banks & Credit Unions,Finance,$1 to $2 billion (USD)
542,"Senior Manager, Epidemiologic Data Scientist",$125K-$210K (Glassdoor est.),Pfizer,New York,NY,125000,210000,167500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
543,"Marketing Data Analyst, May 2020 Undergrad",$44K-$86K (Glassdoor est.),Fareportal,New York,NY,44000,86000,65000.0,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD)
544,Senior Data Analyst,$69K-$119K (Glassdoor est.),Novetta,Herndon,VA,69000,119000,94000.0,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
545,Senior Data Analyst,$65K-$110K (Glassdoor est.),Moda Operandi,New York,NY,65000,110000,87500.0,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD)
546,Senior Data Engineer,$67K-$127K (Glassdoor est.),Novetta,Reston,VA,67000,127000,97000.0,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
547,Senior Data Engineer,$78K-$147K (Glassdoor est.),Genesys,Durham,NC,78000,147000,112500.0,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
548,Data Modeler (Analytical Systems),$66K-$117K (Glassdoor est.),MassMutual,Boston,MA,66000,117000,91500.0,Insurance Carriers,Insurance,$10+ billion (USD)
549,Data Modeler - Data Solutions Engineer,$37K-$66K (Glassdoor est.),Liberty Mutual Insurance,Indianapolis,IN,37000,66000,51500.0,Insurance Carriers,Insurance,$10+ billion (USD)
550,Data Scientist in Translational Medicine,$86K-$143K (Glassdoor est.),Novartis,Cambridge,MA,86000,143000,114500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
551,Data Scientist,$84K-$146K (Glassdoor est.),USEReady,New York,NY,84000,146000,115000.0,Consulting,Business Services,$10 to $25 million (USD)
552,Product Manager/Data Evangelist,$50K-$98K (Glassdoor est.),"Numeric, LLC",Phila,PA,50000,98000,74000.0,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
553,Associate Environmental Scientist - Wildlife Biologist,$38K-$64K (Glassdoor est.),QK,Clovis,CA,38000,64000,51000.0,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
554,Sr Data Engineer (Sr BI Developer),$90K-$110K(Employer est.),Tivity Health,Chandler,AZ,90000,110000,100000.0,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
555,"Senior Data Scientist – Visualization, Novartis AI Innovation Lab",$92K-$150K (Glassdoor est.),Novartis,Cambridge,MA,92000,150000,121000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
556,Senior Data Analyst/Scientist,$90K-$153K (Glassdoor est.),Demandbase,San Francisco,CA,90000,153000,121500.0,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
557,"Associate, Data Science, Internal Audit",$43K-$82K (Glassdoor est.),Santander,Boston,MA,43000,82000,62500.0,Banks & Credit Unions,Finance,$10+ billion (USD)
558,Senior LiDAR Data Scientist,$93K-$151K (Glassdoor est.),Luminar Technologies,Orlando,FL,93000,151000,122000.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
559,Data Engineer,$61K-$109K (Glassdoor est.),BRMi,Chantilly,VA,61000,109000,85000.0,IT Services,Information Technology,Unknown / Non-Applicable
560,Data Engineer,$42K-$79K (Glassdoor est.),IntraEdge,Scottsdale,AZ,42000,79000,60500.0,IT Services,Information Technology,$50 to $100 million (USD)
561,Lead Data Scientist,$139K-$221K (Glassdoor est.),Zest AI,Burbank,CA,139000,221000,180000.0,Financial Analytics & Research,Finance,$50 to $100 million (USD)
562,"Technology-Minded, Data Professional Opportunities",$40K-$101K (Glassdoor est.),Veterans United Home Loans,Columbia,MO,40000,101000,70500.0,Lending,Finance,Unknown / Non-Applicable
563,Big Data Engineer,$84K-$153K (Glassdoor est.),Peraton,Chantilly,VA,84000,153000,118500.0,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
564,Salesforce Analytics Consultant,$52K-$81K (Glassdoor est.),"Emtec, Inc.",Chicago,IL,52000,81000,66500.0,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
565,Managing Data Scientist/ML Engineer,$81K-$134K (Glassdoor est.),PA Consulting,Boston,MA,81000,134000,107500.0,Consulting,Business Services,$100 to $500 million (USD)
